City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
267,gwanda,-20.9333,29.0,19.6,52,5,3.16,ZW,1709606328
268,sisimiut,66.9395,-53.6735,-16.55,80,54,3.68,GL,1709606328
269,hafar al-batin,28.4328,45.9708,12.32,43,0,1.03,SA,1709606329
270,yamba,-5.9,22.3,22.14,95,100,0.89,CD,1709606329
271,dhuusamarreeb,5.535,46.3861,23.25,81,6,5.9,SO,1709606330
272,raton,36.9034,-104.4391,6.34,26,0,6.69,US,1709606108
273,turbat,26.0023,63.044,17.24,40,79,2.11,PK,1709606331
274,velyka pysarivka,50.4259,35.485,0.33,79,100,2.82,UA,1709606331
275,abra pampa,-22.7205,-65.697,11.14,73,86,2.9,AR,1709606332
276,sola,-13.8833,167.55,28.5,79,96,7.11,VU,1709606332
277,vorgashor,67.5833,63.95,-18.17,98,100,2.14,RU,1709606333
278,pandan,14.0453,124.1694,28.46,64,10,2.97,PH,1709606333
279,naze,28.3667,129.4833,20.51,87,100,7.68,JP,1709606334
280,imbituba,-28.24,-48.6703,21.27,95,100,4.58,BR,1709606335
281,sisophon,13.5859,102.9737,33.73,48,9,4.07,KH,1709606336
282,sferracavallo,42.726,12.0956,11.29,95,68,3.14,IT,1709606336
283,lisarow,-33.3833,151.3667,27.21,56,6,3.67,AU,1709606337
284,lushoto,-4.7833,38.2833,16.69,96,100,1.22,TZ,1709606337
285,hasaki,35.7333,140.8333,7.94,80,100,6.15,JP,1709606338
286,sulak,43.2734,47.5146,5.07,84,34,5.47,RU,1709606338
287,baijiantan,45.6333,85.1833,-11.28,84,21,1.9,CN,1709606339
288,ermelo,-26.5333,29.9833,15.85,67,0,4.09,ZA,1709606339
289,sassandra,4.95,-6.0833,25.73,96,15,2.33,CI,1709606340
290,xinqing,48.2333,129.5,-6.12,60,86,2.65,CN,1709606047
291,kapa'a,22.0752,-159.319,24.99,74,75,7.72,US,1709606341
292,la ronge,55.1001,-105.2842,-16.86,78,100,2.57,CA,1709606342
293,saqqez,36.2499,46.2735,2.58,83,97,0.82,IR,1709606342
294,kristiansund,63.1115,7.732,8.36,46,22,3.09,NO,1709606343
295,hays,30.0502,-98.0336,23.87,78,96,3.44,US,1709606343
296,atafu village,-8.5421,-172.5159,29.21,73,99,3.6,TK,1709606344
297,impfondo,1.6381,18.0667,24.58,62,97,1.18,CG,1709606345
298,alaghsas,17.0187,8.0168,24.94,9,27,3.72,NE,1709606345
299,yuzhno-kurilsk,44.0306,145.8556,-5.35,79,84,3.77,RU,1709606346
300,revelstoke,50.9832,-118.2023,-1.99,69,100,6.17,CA,1709606162
301,leava,-14.3,-178.1667,28.91,79,89,6.71,WF,1709606347
302,brisas de zicatela,15.8369,-97.0419,27.29,83,0,2.57,MX,1709606347
303,abepura,-2.6333,140.5833,31.45,62,20,1.54,ID,1709606348
304,hilo,19.7297,-155.09,23.68,80,100,1.51,US,1709606348
305,masuguru,-11.3667,38.4167,22.51,98,100,1.66,TZ,1709606349
306,pesaro,43.9036,12.8903,11.01,91,100,3.8,IT,1709606350
307,puerto real,36.5282,-6.1901,12.09,82,0,2.57,ES,1709606350
308,salinopolis,-0.6136,-47.3561,25.32,87,100,1.76,BR,1709606181
309,fada,9.5667,8.3,24.24,42,37,1.46,NG,1709606351
310,taoudenni,22.6783,-3.9836,21.2,13,0,5.06,ML,1709606352
311,tarawa,1.419,172.984,31.05,79,75,4.63,KI,1709606353
312,kerikeri,-35.2268,173.9474,22.17,65,74,1.34,NZ,1709606353
313,rock springs,41.5875,-109.2029,-4.97,74,100,5.66,US,1709606186
314,mvurwi,-17.0333,30.85,15.48,97,28,1.43,ZW,1709606355
315,obihiro,42.9172,143.2044,-1.33,65,81,4.51,JP,1709606355
316,dryden,49.7833,-92.7503,-10.84,67,20,4.12,CA,1709606356
